Value,Definition
qual,"qualitative methods (interviews, ethnography, focus groups, archival analysis, discourse analysis, single in-depth case study)"
quant,"quantitative methods (statistical analysis, regression, large-n surveys, modeling, formal hypothesis testing)"
both,mixed methods — uses both qualitative and quantitative approaches substantively
Descriptive,"descriptive or narrative analysis of original empirical material — case study, fieldwork notes, archival analysis with original data"
Conceptual,"literature review, narrative synthesis, or conceptual essay without original empirical material — frames a debate or synthesizes existing literature"
spatial/mapping,"methodology centered on GIS, remote sensing, spatial analysis, cartography, or geospatial modeling"
unclear,methodology cannot be determined from the title and abstract
